Unnamed: 0,tweet,InSet
0.0,direktur jenderal badan kesehatan dunia who menyatakan dunia mengalami kekurangan peralatan kesehatan terutama negara miskin paling miskin dunia peralatan medis mengalami kekurangan pasokan masker vaksin obat obatan,
1.0,semua negara dunia menyerukan pentingnya imunisasi bahkan semua agama sama jangan pertaruhkan anak,
2.0,kirain tak ngefek vaksin pertama baik saudara pd vaksin ane malah terakhir vaksin mo pergi jakarta,
3.0,sebelumnya dikira demam berdarah bintik paha senin vaksin sabtu muncul bintik cek darah trombosit baik rabu balik dokter tambah banyak telapak kaki perih sakit buat jalan cek darah trombosit baik dirujuk dokter penyakit terus dokter kulit,
4.0,gejala timbul hari vaksin gak langsung,
5.0,rail clinic stasiun delanggu klaten vaksin hingga bagikan sembako,
6.0,soll info vaksin boster dong makasih,
7.0,fess guyss info vaksin booster uns dong butuh banget buat segeraa makasii,
8.0,,
9.0,hasil studi sebut faringitis jadi gejala utama covid vaksin,
10.0,tiap orang kan daya tahan tubuh imun vaksin pertama kedua beda merk kata dokter gitu,
11.0,hmm yg dimasalahin disini bkn gk bs explore hobi tp perempuan ideal gk si berpenghasilan bekerja jadi i asisten loh kerjanya jam buat ibu yg biasa kerja lalu tb jd isgt mungkin jd burn out yg hadepin cm sebidang kotak rumah amp org nya,
12.0,memang benar lowongan pekerjaan banyak mencantumkan vaksin syarat karyawannya punya pemikiran analisa baik logis,
13.0,lha siapa tahu kalau jadi kipi kalau tahu sakit pastinya gak vaksin,
14.0,lha kalau tak vaksin tak naik kereta api pesawat padahal acara nikahan jakarta kemarennya tetangga boster tak naik kereta terpaksa vaksin ane piye jal,
15.0,ipar kk divaksin x kena covid masuk icu beberapa hari lha ane vaksin malah sakit vaskulistis pembekaan pembuluh darah mpe hampir bulan,
16.0,sini pcv aja kurang laku tun pdhal kota kabupaten wkwk aku pengen daftarin anakku buat pcv krna ga masuk sasaran usia eh yg masuk sasaran malah banyak yg ga mau pda takut sama vaksin baru,
17.0,benar vaksin kali puasa dnah senen kamis insya allah tubuh jiwa terjaga amin,
18.0,guys klo mau vaksin booster solo fess,
19.0,kereen semuanya,
20.0,stadion piala dunia u steril dipakai alah telek,
21.0,railmin syarat kereta solo sby skrg apa vaksin thx,
22.0,sate buntel kwi,
