date,username,tweet
2022-11-22 06:53:52,AlbertSolo2,"Direktur jenderal badan kesehatan dunia who menyatakan bahwa saat ini, dunia mengalami kekurangan peralatan kesehatan, terutama di negara miskin dan paling miskin di dunia, peralatan medis yang mengalami kekurangan pasokan adalah masker, vaksin dan obat -obatan."
2022-11-21 17:28:03,dr_ardi,"Semua negara di dunia ini menyerukan pentingnya imunisasi, bahkan semua agama juga sama. jangan pertaruhkan anak kita!!.  #ardisantoso #dokteranak #dokter #indonesia #anaksehat #vaksin  https://t.co/Sed1Ft4Wh2"
2022-11-21 16:58:52,Faiza_Abdullah7,@ato_uban @yo2thok Kirain tak ngefek vaksin pertama baik2 saja  Saudara pd vaksin juga  Ane malah terakhir vaksin karena mo pergi ke Jakarta
2022-11-21 16:28:45,Faiza_Abdullah7,@ato_uban @yo2thok Sebelumnya dikira demam berdarah ada bintik2 di paha Senin vaksin  Sabtu muncul bintik Cek darah trombosit baik  Rabu balik ke dokter tambah banyak di telapak kaki perih sakit buat jalan cek darah lagi trombosit baik Dirujuk ke dokter penyakit dalam  Terus ke dokter kulit
2022-11-21 15:58:26,Faiza_Abdullah7,@ato_uban @yo2thok Gejala timbul 5 hari setelah vaksin  Gak langsung
2022-11-21 15:18:35,soloposdotcom,"Ada Rail Clinic di Stasiun Delanggu Klaten, dari Vaksin hingga Bagikan Sembako  https://t.co/vTpWnrhXNi"
2022-11-21 14:16:33,SoloMenfess,"Soll info vaksin boster dong, makasih"
2022-11-21 13:24:26,UNSfess_,"-11fess guyss info vaksin booster sekitar uns dong, butuh banget buat segeraa. makasii"
2022-11-21 10:28:10,dr_ardi,🌿🌿🌿  #ardisantoso #dokteranak #dokter #indonesia #anaksehat #vaksin  https://t.co/HZCFPemUyA
2022-11-21 08:04:34,soloposdotcom,Hasil Studi Sebut Faringitis Jadi Gejala Utama Covid-19 bagi yang Sudah Vaksin  https://t.co/MYMq43ZEy8
2022-11-21 07:17:44,Faiza_Abdullah7,"@BANG_AHMAD21 @yo2thok Tiap orang kan daya tahan tubuh/imun lain2  Itu karena vaksin pertama dan kedua beda merk, kata dokter gitu"
2022-11-20 22:30:31,Yayaya_92,"@Chimmy1990 @evenighx Hmm yg dimasalahin disini bkn gk bs explore hobi, tp perempuan ideal gk si berpenghasilan/bekerja.  Jadi IRT (tanpa asisten loh ya) itu kerjanya 24 jam, buat ibu2 yg biasa kerja lalu tb2 jd IRT sgt mungkin jd burn out, yg di hadepin cm sebidang kotak (rumah)&amp; org nya itu2 lagi 😅"
2022-11-20 22:22:17,_afaz,"memang benar dalam lowongan pekerjaan saat ini banyak yang mencantumkan ""sudah vaksin"" sebagai syarat sehingga karyawannya nanti punya pemikiran analisa yang baik dan logis 😅"
2022-11-20 20:09:48,Faiza_Abdullah7,@AgusSantaiAja @yo2thok Lhaaa siapa yang tahu kalau  jadi kipi Kalau tahu sakit pastinya gak akan vaksin  https://t.co/UyeavEavOv
2022-11-20 20:03:12,Faiza_Abdullah7,"@AgusSantaiAja @yo2thok Lha kalau tak vaksin tak bisa naik kereta api/pesawat, padahal ada acara nikahan di Jakarta  Kemarennya saja tetangga belum boster tak bisa naik kereta  Terpaksa vaksin ane  Piyeee jal???"
2022-11-20 19:38:05,Faiza_Abdullah7,"@yo2thok Ipar kk divaksin 2x kena covid juga, masuk icu beberapa hari  Lha ane vaksin malah sakit vaskulistis, pembekaan pembuluh darah mpe hampir 2 bulan  https://t.co/5zu22Q1WAo"
2022-11-20 18:28:08,desymil,"@zakitun Di sini PCV aja kurang laku tun 🥲🥲 pdhal di kota kabupaten. Wkwk.. Aku pengen daftarin anakku buat pcv3 tapi belum boleh krna ga masuk sasaran usia. Eh tapi yg masuk sasaran malah banyak yg ga mau, pda takut sama vaksin baru."
2022-11-20 17:15:40,SetyasihMurwani,@adit_youtuber @MprAldo @defianpanji @ObiWan_Catnobi Benar saya vaksin  2kali. . puasa Dnah Senen Kamis Insya Allah. Tubuh dan jiwa..Terjaga. Amin
2022-11-20 17:07:30,UNSfess_,guys klo mau vaksin booster di solo dimana ya? -11fess
2022-11-20 14:28:32,Yayaya_92,@diemajasap @TyasPutra3 @evenighx Kereen semuanya😚💞
2022-11-20 13:36:07,Usman_J20,"@MafiaWasit stadion piala dunia U20 harus steril, tidak boleh dipakai alah telek!!!"
2022-11-20 12:46:27,JoshuaArdi,railmin @KAI121 syarat kereta solo-sby skrg apa ya? vaksin? thx
2022-11-20 10:04:55,Usman_J20,@knugroho33 sate buntel kwi
2022-11-20 09:53:34,soloposdotcom,"Banyak Warga Sragen Tolak Vaksin Booster, Migran Care Bantu Edukasi  https://t.co/k1vZShpwlf"
2022-11-20 09:29:57,Usman_J20,@affmecup Indonesia 🇮🇩
2022-11-20 09:10:23,Usman_J20,@MafiaWasit Butut
2022-11-20 09:05:51,Usman_J20,@KompasTV MODARO LEEEEEEEE
2022-11-20 08:10:25,Andree_Anggono,@adit_youtuber (((gw ga vaksin))) mungkin abis lahir disuntik pake coca cola
2022-11-20 08:05:32,cfdsolo_,Yang membutuhkan vaksin booster silakan bisa merapat ke Loji Gandrung yang sebelumnya berada di Ngarsopuro  Diadakan oleh @dinkessurakarta setiap Minggu saat @cfdsolo_ selama stok tersedia  GRATIS untuk seluruh warga Indonesia hanya dengan menunjukkan KTP  #cfdsolo @gibran_tweet  https://t.co/uhJ3mp6XLi
