tweet,token,InSet
direktur jenderal badan kesehatan dunia who menyatakan dunia mengalami kekurangan peralatan kesehatan terutama negara miskin paling miskin dunia peralatan medis mengalami kekurangan pasokan masker vaksin obat obatan,"['direktur', 'jenderal', 'badan', 'kesehatan', 'dunia', 'who', 'menyatakan', 'dunia', 'mengalami', 'kekurangan', 'peralatan', 'kesehatan', 'terutama', 'negara', 'miskin', 'paling', 'miskin', 'dunia', 'peralatan', 'medis', 'mengalami', 'kekurangan', 'pasokan', 'masker', 'vaksin', 'obat', 'obatan']",neg
semua negara dunia menyerukan pentingnya imunisasi bahkan semua agama sama jangan pertaruhkan anak,"['semua', 'negara', 'dunia', 'menyerukan', 'pentingnya', 'imunisasi', 'bahkan', 'semua', 'agama', 'sama', 'jangan', 'pertaruhkan', 'anak']",neg
kirain tak ngefek vaksin pertama baik saudara pd vaksin ane malah terakhir vaksin mo pergi jakarta,"['kirain', 'tak', 'ngefek', 'vaksin', 'pertama', 'baik', 'saudara', 'pd', 'vaksin', 'ane', 'malah', 'terakhir', 'vaksin', 'mo', 'pergi', 'jakarta']",neg
sebelumnya dikira demam berdarah bintik paha senin vaksin sabtu muncul bintik cek darah trombosit baik rabu balik dokter tambah banyak telapak kaki perih sakit buat jalan cek darah trombosit baik dirujuk dokter penyakit terus dokter kulit,"['sebelumnya', 'dikira', 'demam', 'berdarah', 'bintik', 'paha', 'senin', 'vaksin', 'sabtu', 'muncul', 'bintik', 'cek', 'darah', 'trombosit', 'baik', 'rabu', 'balik', 'dokter', 'tambah', 'banyak', 'telapak', 'kaki', 'perih', 'sakit', 'buat', 'jalan', 'cek', 'darah', 'trombosit', 'baik', 'dirujuk', 'dokter', 'penyakit', 'terus', 'dokter', 'kulit']",neg
gejala timbul hari vaksin gak langsung,"['gejala', 'timbul', 'hari', 'vaksin', 'gak', 'langsung']",neg
rail clinic stasiun delanggu klaten vaksin hingga bagikan sembako,"['rail', 'clinic', 'stasiun', 'delanggu', 'klaten', 'vaksin', 'hingga', 'bagikan', 'sembako']",neg
soll info vaksin boster dong makasih,"['soll', 'info', 'vaksin', 'boster', 'dong', 'makasih']",pos
fess guyss info vaksin booster uns dong butuh banget buat segeraa makasii,"['fess', 'guyss', 'info', 'vaksin', 'booster', 'uns', 'dong', 'butuh', 'banget', 'buat', 'segeraa', 'makasii']",neg
hasil studi sebut faringitis jadi gejala utama covid vaksin,"['hasil', 'studi', 'sebut', 'faringitis', 'jadi', 'gejala', 'utama', 'covid', 'vaksin']",neg
tiap orang kan daya tahan tubuh imun vaksin pertama kedua beda merk kata dokter gitu,"['tiap', 'orang', 'kan', 'daya', 'tahan', 'tubuh', 'imun', 'vaksin', 'pertama', 'kedua', 'beda', 'merk', 'kata', 'dokter', 'gitu']",pos
